token_number,token,document_id_list
1,092,"[2, 3, 5, 6, 7, 8, 9]"
2,0921,"[4, 10]"
3,0922,"[1, 11]"
4,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
5,10,"[2, 4]"
6,11,"[2, 4, 10]"
7,12,[2]
8,13,[2]
9,14,"[1, 2]"
10,15,[2]
11,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
12,2015,"[2, 3, 5, 6, 7, 8, 9]"
13,2016,"[4, 10]"
14,2017,[11]
15,2018,[1]
16,2d,[7]
17,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
18,31,"[2, 3, 5, 6, 7, 8, 9]"
19,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
20,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
21,6,"[1, 2, 3, 4, 5, 6, 8, 9]"
22,6d,[7]
23,7,"[1, 2, 3, 4, 5, 6, 8, 9]"
24,8,"[2, 4, 9]"
25,8d,[7]
26,9,"[2, 4]"
27,a,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
28,abandon,"[3, 10]"
29,abandoned,"[1, 3]"
30,abandonwhich,[3]
31,abate,"[5, 6]"
32,abated,"[4, 8]"
33,abatement,"[5, 8]"
34,abatements,[6]
35,abbess,[11]
36,abbey,[11]
37,abed,"[1, 3, 4, 5, 9, 10]"
38,abetting,[11]
39,abhor,"[3, 4, 5, 10, 11]"
40,abhorred,"[1, 4, 5, 6, 8, 9]"
41,abhorring,"[2, 4]"
42,abide,"[2, 5, 9]"
43,abides,[2]
44,abilities,"[4, 10]"
45,ability,"[1, 6, 10]"
46,abject,[11]
47,abjure,"[8, 9]"
48,able,"[1, 2, 3, 4, 6, 7, 8, 11]"
49,aboard,"[2, 5, 6, 10, 11]"
50,abode,"[2, 5, 8, 10]"
51,abominable,"[3, 7]"
52,abominably,[6]
53,abominations,[2]
54,abound,[9]
55,about,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
56,above,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
57,abovenow,[7]
58,abram,[4]
59,abridgment,"[5, 6]"
60,abroad,"[2, 5, 6, 7, 8, 9, 10]"
61,abroadi,[8]
62,abruptly,[3]
63,absence,"[2, 3, 4, 5, 7, 9, 10, 11]"
64,absent,"[1, 3, 5, 6, 7, 9, 10]"
65,absolute,"[2, 4, 5, 6, 7, 8, 9, 10]"
66,abstinence,[6]
67,abstract,"[1, 2, 6]"
68,absurd,"[2, 6]"
69,abundance,"[1, 4, 7]"
70,abundantly,[4]
71,abuse,"[1, 2, 5, 6, 8, 9, 10]"
72,abused,"[1, 2, 3, 4, 5, 6, 8, 10, 11]"
73,abuseif,[5]
74,abuser,[10]
75,abuses,"[3, 6, 7, 8, 10]"
76,abysm,[2]
77,accent,"[3, 6, 8, 10]"
78,accents,"[4, 7, 8, 9]"
79,accept,"[4, 7]"
80,acceptance,"[4, 10]"
81,accepted,[7]
82,accepts,[6]
83,access,"[3, 4, 6, 9, 10]"
84,accessible,[5]
85,accessory,[1]
86,accident,"[5, 6, 10]"
87,accidental,[6]
88,accidentally,"[4, 11]"
89,accidents,"[2, 5, 6, 7, 10]"
90,accidentwherein,[10]
91,acclamations,[4]
92,accommodate,[8]
93,accommodated,[5]
94,accommodation,[10]
95,accompanied,"[4, 7]"
96,accompany,"[4, 7, 9]"
97,accompanying,[2]
98,accomplish,[4]
99,accomplished,"[1, 5]"
100,accord,"[3, 6]"
101,according,"[3, 4, 5, 6, 7, 8, 9, 11]"
102,accordingly,"[1, 2, 5, 7]"
103,accords,[11]
104,account,"[4, 5, 6, 7, 8, 9, 10]"
105,accountant,[10]
106,accounted,"[4, 6, 9]"
107,accouterments,[3]
108,accumulate,[10]
109,accumulation,[2]
110,accursed,"[7, 9]"
111,accurst,[6]
112,accusation,"[4, 7]"
113,accusations,"[2, 4]"
114,accuse,"[1, 2, 4, 5, 6, 8]"
115,accused,"[1, 4]"
116,accusers,"[4, 8]"
117,accuses,[2]
118,accustomed,"[3, 9]"
119,ace,[5]
120,ache,"[6, 10, 11]"
121,acheron,[9]
122,aches,"[4, 10]"
123,achieve,[4]
124,achieved,"[2, 4, 7, 10]"
125,achievements,[6]
126,achieves,[1]
127,acknowledge,"[1, 2, 7, 8, 11]"
128,acknowledged,"[2, 8]"
129,acknowledgeddo,[8]
130,acknown,[10]
131,acold,[8]
132,acordo,[1]
133,acorn,[3]
134,acquaint,"[1, 3, 6, 8, 9]"
135,acquaintance,"[1, 3, 4, 5, 7, 8, 10]"
136,acquainted,"[1, 2, 3, 5, 10, 11]"
137,acquire,"[2, 6]"
138,acquired,[1]
139,acquit,[3]
140,acquittance,"[5, 6]"
141,acre,[8]
142,acres,"[3, 6, 7]"
143,across,"[1, 6, 11]"
144,act,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
145,acted,"[2, 6, 9]"
146,acting,"[4, 6, 9]"
147,action,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
148,actions,"[3, 4, 5, 6, 9, 10]"
149,actionsoft,[6]
150,actiontaking,[8]
151,actis,[10]
152,actium,[2]
153,actively,[6]
154,activevaliant,[7]
155,actnay,[5]
156,actor,"[1, 2, 3, 4, 6]"
157,actors,[6]
158,acts,"[1, 2, 3, 4, 5, 6, 9]"
159,actual,"[9, 10]"
160,acursing,[6]
161,acutely,[1]
162,adage,[9]
163,adallas,[2]
164,adam,"[3, 6, 7, 11]"
165,adams,[6]
166,add,"[1, 2, 5, 8, 9, 10]"
167,added,"[5, 8, 9]"
168,adder,"[5, 8]"
169,adders,"[6, 9]"
170,addicted,[6]
171,addition,"[1, 2, 4, 6, 7, 8, 9, 10, 11]"
172,additions,[1]
173,address,"[1, 6, 8]"
174,addressed,"[3, 9]"
175,addresses,[1]
176,addressing,[7]
177,adhere,[9]
178,adheres,[6]
179,adieu,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
180,adieufarewell,[4]
