token_number,token,document_id_dic
1,092,"{2: 1, 3: 1, 4: 1, 6: 1, 8: 1, 9: 1, 10: 1}"
2,0921,{1: 1}
3,0922,"{5: 1, 7: 1}"
4,1,"{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}"
5,10,"{1: 1, 2: 2}"
6,11,"{1: 1, 2: 2}"
7,12,{2: 3}
8,13,{2: 2}
9,14,"{2: 1, 7: 1}"
10,15,{2: 1}
11,2,"{1: 6, 2: 6, 3: 6, 4: 6, 5: 5, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}"
12,2015,"{2: 1, 3: 1, 4: 1, 6: 1, 8: 1, 9: 1, 10: 1}"
13,2016,{1: 1}
14,2017,{5: 1}
15,2018,{7: 1}
16,2d,{3: 1}
17,3,"{1: 6, 2: 5, 3: 6, 4: 6, 5: 2, 6: 6, 7: 6, 8: 6, 9: 4, 10: 6}"
18,31,"{2: 1, 3: 1, 4: 1, 6: 1, 8: 1, 9: 1, 10: 1}"
19,4,"{1: 4, 2: 5, 3: 4, 4: 5, 5: 3, 6: 6, 7: 4, 8: 4, 9: 4, 10: 5}"
20,5,"{1: 4, 2: 5, 3: 2, 4: 4, 5: 1, 6: 5, 7: 4, 8: 3, 9: 3, 10: 4}"
21,6,"{1: 3, 2: 3, 4: 2, 6: 2, 7: 1, 8: 1, 9: 1, 10: 3}"
22,6d,{3: 1}
23,7,"{1: 2, 2: 3, 4: 2, 6: 1, 7: 1, 8: 1, 9: 1, 10: 2}"
24,8,"{1: 1, 2: 2, 10: 1}"
25,8d,{3: 1}
26,9,"{1: 1, 2: 2}"
27,a,"{1: 414, 2: 341, 3: 544, 4: 408, 5: 254, 6: 474, 7: 468, 8: 461, 9: 534, 10: 252}"
28,abandon,{8: 1}
29,abandoned,"{7: 1, 8: 2}"
30,abandonwhich,{8: 1}
31,abate,"{6: 1, 9: 1}"
32,abated,"{1: 1, 4: 1}"
33,abatement,"{4: 1, 6: 1}"
34,abatements,{9: 1}
35,abbess,{5: 25}
36,abbey,{5: 9}
37,abed,"{1: 1, 6: 1, 7: 1, 8: 1, 10: 1}"
38,abetting,{5: 1}
39,abhor,"{1: 1, 5: 1, 6: 1, 8: 1}"
40,abhorred,"{1: 2, 4: 2, 6: 2, 7: 1, 9: 1, 10: 1}"
41,abhorring,"{1: 1, 2: 1}"
42,abide,"{2: 2, 6: 4, 10: 2}"
43,abides,{2: 1}
44,abilities,{1: 1}
45,ability,"{7: 1, 9: 1}"
46,abject,{5: 1}
47,abjure,"{4: 1, 10: 1}"
48,able,"{1: 2, 2: 1, 3: 1, 4: 1, 5: 1, 7: 4, 8: 1, 9: 1}"
49,aboard,"{2: 2, 5: 5, 6: 2, 9: 3}"
50,abode,"{2: 1, 4: 1, 6: 1}"
51,abominable,"{3: 1, 8: 1}"
52,abominably,{9: 1}
53,abominations,{2: 1}
54,abound,{10: 1}
55,about,"{1: 15, 2: 7, 3: 9, 4: 11, 5: 7, 6: 9, 7: 8, 8: 7, 9: 19, 10: 12}"
56,above,"{1: 4, 2: 2, 3: 3, 4: 6, 5: 3, 6: 8, 7: 3, 8: 1, 9: 4, 10: 3}"
57,abovenow,{3: 1}
58,abram,{1: 1}
59,abridgment,"{6: 1, 9: 1}"
60,abroad,"{2: 2, 3: 1, 4: 1, 6: 4, 9: 1, 10: 2}"
61,abroadi,{4: 1}
62,abruptly,{8: 1}
63,absence,"{1: 4, 2: 2, 3: 3, 5: 1, 6: 4, 8: 1, 10: 2}"
64,absent,"{3: 2, 6: 1, 7: 3, 8: 2, 9: 1, 10: 1}"
65,absolute,"{1: 4, 2: 6, 3: 1, 4: 1, 6: 3, 9: 2, 10: 3}"
66,abstinence,{9: 1}
67,abstract,"{2: 2, 7: 1, 9: 1}"
68,absurd,"{2: 1, 9: 2}"
69,abundance,"{1: 2, 3: 1, 7: 1}"
70,abundantly,{1: 1}
71,abuse,"{2: 1, 4: 1, 6: 1, 7: 1, 9: 1, 10: 1}"
72,abused,"{1: 2, 2: 3, 4: 7, 5: 1, 6: 4, 7: 1, 8: 1, 9: 1}"
73,abuseif,{6: 1}
74,abuses,"{3: 2, 4: 1, 8: 2, 9: 1}"
75,abysm,{2: 1}
76,accent,"{4: 1, 8: 1, 9: 2}"
77,accents,"{1: 1, 3: 1, 4: 1, 10: 1}"
78,accept,"{1: 2, 3: 1}"
79,acceptance,{1: 1}
80,accepted,{3: 1}
81,accepts,{9: 1}
82,access,"{1: 1, 8: 1, 9: 1, 10: 1}"
83,accessible,{6: 1}
84,accessory,{7: 1}
85,accident,"{6: 2, 9: 3}"
86,accidental,{9: 1}
87,accidentally,"{1: 1, 5: 1}"
88,accidents,"{2: 2, 3: 1, 6: 2, 9: 1}"
89,acclamations,{1: 1}
90,accommodate,{4: 1}
91,accommodated,{6: 1}
92,accompanied,"{1: 1, 3: 1}"
93,accompany,"{1: 1, 3: 1, 10: 1}"
94,accompanying,{2: 2}
95,accomplish,{1: 1}
96,accomplished,"{6: 2, 7: 1}"
97,accord,"{8: 2, 9: 1}"
98,according,"{1: 1, 3: 1, 4: 1, 5: 1, 6: 1, 8: 3, 9: 2, 10: 2}"
99,accordingly,"{2: 2, 3: 1, 6: 1, 7: 1}"
100,accords,{5: 1}
101,account,"{1: 5, 3: 4, 4: 1, 6: 1, 9: 1, 10: 2}"
102,accounted,"{1: 1, 9: 1, 10: 1}"
103,accouterments,{8: 1}
104,accumulation,{2: 1}
105,accursed,"{3: 1, 10: 4}"
106,accurst,{9: 1}
107,accusation,"{1: 1, 3: 1}"
108,accusations,"{1: 2, 2: 1}"
109,accuse,"{1: 2, 2: 2, 4: 1, 6: 4, 7: 1, 9: 1}"
110,accused,"{1: 2, 7: 1}"
111,accusers,"{1: 1, 4: 1}"
112,accuses,{2: 1}
113,accustomed,"{8: 1, 10: 1}"
114,ace,{6: 1}
115,ache,"{5: 1, 9: 1}"
116,acheron,{10: 1}
117,aches,{1: 1}
118,achieve,{1: 1}
119,achieved,"{1: 1, 2: 1, 3: 1}"
120,achievements,{9: 1}
121,achieves,{7: 1}
122,acknowledge,"{2: 1, 3: 1, 4: 2, 5: 1, 7: 2}"
123,acknowledged,"{2: 1, 4: 1}"
124,acknowledgeddo,{4: 1}
125,acold,{4: 5}
126,acordo,{7: 1}
127,acorn,{8: 1}
128,acquaint,"{4: 2, 7: 3, 8: 2, 9: 1, 10: 1}"
129,acquaintance,"{1: 1, 3: 2, 4: 1, 6: 1, 7: 1, 8: 3}"
130,acquainted,"{2: 1, 5: 2, 6: 2, 7: 3, 8: 2}"
131,acquire,"{2: 2, 9: 1}"
132,acquired,{7: 1}
133,acquit,{8: 1}
134,acquittance,"{6: 1, 9: 1}"
135,acre,{4: 1}
136,acres,"{3: 1, 8: 1, 9: 1}"
137,across,"{5: 1, 7: 1, 9: 1}"
138,act,"{1: 9, 2: 12, 3: 5, 4: 10, 5: 5, 6: 12, 7: 10, 8: 5, 9: 19, 10: 9}"
139,acted,"{2: 1, 9: 1, 10: 1}"
140,acting,"{1: 1, 9: 1, 10: 1}"
141,action,"{1: 13, 2: 5, 3: 4, 4: 1, 6: 8, 7: 2, 8: 1, 9: 9, 10: 1}"
142,actions,"{1: 2, 6: 1, 8: 2, 9: 2, 10: 1}"
143,actionsoft,{9: 1}
144,actiontaking,{4: 1}
145,actium,{2: 1}
146,actively,{9: 1}
147,activevaliant,{3: 1}
148,actnay,{6: 1}
149,actor,"{1: 1, 2: 1, 7: 1, 8: 1, 9: 3}"
150,actors,{9: 2}
151,acts,"{1: 1, 2: 3, 6: 1, 7: 1, 8: 1, 9: 2, 10: 1}"
152,actual,{10: 1}
153,acursing,{9: 1}
154,acutely,{7: 1}
155,adage,{10: 1}
156,adallas,{2: 1}
157,adam,"{3: 2, 5: 4, 8: 24, 9: 1}"
158,adams,{9: 1}
159,add,"{2: 1, 4: 1, 6: 2, 7: 1, 10: 2}"
160,added,"{4: 1, 6: 2, 10: 1}"
161,adder,"{4: 1, 6: 1}"
162,adders,"{9: 1, 10: 1}"
163,addicted,{9: 1}
164,addition,"{1: 2, 2: 1, 3: 1, 4: 5, 5: 1, 7: 1, 9: 3, 10: 2}"
165,additions,{7: 1}
166,address,"{4: 1, 7: 1, 9: 1}"
167,addressed,"{8: 1, 10: 1}"
168,addresses,{7: 1}
169,addressing,{3: 1}
170,adhere,{10: 1}
171,adheres,{9: 1}
172,adieu,"{1: 1, 2: 6, 3: 2, 4: 1, 6: 1, 7: 3, 8: 4, 9: 7, 10: 2}"
173,adieufarewell,{1: 1}
174,adieus,{2: 1}
175,adjacent,{2: 1}
176,adjoined,{9: 1}
177,adjoining,{2: 1}
178,adjourned,{6: 1}
179,adjudged,{5: 1}
180,admirable,"{4: 1, 6: 1, 7: 1, 9: 1}"
181,admiral,"{2: 1, 3: 1}"
182,admiration,"{4: 1, 6: 3, 7: 1, 9: 3}"
183,admire,{1: 1}
184,admired,"{2: 3, 6: 1, 8: 1, 10: 1}"
185,admiring,{3: 1}
186,admiringly,{7: 2}
187,admit,"{1: 2, 5: 1, 9: 2}"
188,admits,{1: 2}
189,admittance,"{6: 1, 9: 1}"
190,admittanceoft,{6: 1}
191,admitted,"{1: 1, 2: 1, 7: 1}"
192,admittedwheres,{2: 1}
193,admitting,{1: 1}
194,ado,"{3: 1, 4: 1, 6: 1}"
195,adoing,{1: 1}
196,adopt,{1: 1}
197,adopted,"{3: 1, 8: 1}"
198,adoption,"{6: 1, 7: 1, 9: 1}"
199,adoptious,{7: 1}
200,adoration,{8: 1}
201,adore,"{2: 1, 4: 1, 6: 1, 7: 1}"
202,adorer,{6: 1}
203,adores,{2: 1}
204,adornings,{2: 1}
205,adornment,{6: 2}
206,adown,{9: 1}
207,adownand,{9: 1}
208,adownao,{9: 1}
209,adrian,{1: 3}
210,adriana,{5: 99}
211,adrianas,{5: 1}
212,aducking,{2: 1}
213,adulterate,"{5: 1, 9: 1}"
214,adulterers,{4: 1}
215,adulteries,{6: 1}
216,adulterous,{2: 1}
217,adultery,"{4: 2, 6: 2}"
218,adultress,{4: 1}
219,advance,"{1: 1, 10: 1}"
220,advanced,"{1: 2, 4: 1, 7: 1, 9: 1}"
221,advancement,"{4: 1, 9: 2}"
222,advancing,"{3: 1, 7: 1, 9: 2}"
223,advantage,"{1: 2, 2: 2, 3: 6, 4: 1, 6: 4, 7: 3, 9: 1, 10: 1}"
224,advantages,"{3: 1, 4: 1}"
225,adventure,"{3: 4, 6: 3, 8: 2}"
226,adventured,{6: 1}
227,adventures,{5: 1}
228,adventurous,"{3: 1, 9: 1}"
229,adversaries,"{1: 1, 3: 2}"
230,adversary,{4: 2}
231,adversarys,{7: 2}
232,adverse,"{5: 1, 7: 1}"
233,adversely,{1: 1}
234,adversity,"{5: 2, 8: 1}"
235,advertisement,"{3: 2, 7: 1}"
